Main Catagory,SubCatagory,Link
Arts & Crafts,Gift Wrapping Supplies,https://www.amazon.com/s/other?rh=n%3A4954955011%2Cn%3A%212617942011%2Cn%3A723452011&bbn=4954955011&pickerToList=lbr_brands_browse-bin&qid=1553629203&ref=sr_sa_p_89
,,
Beauty and personal care,,
Beauty and personal care,Makeup,https://www.amazon.com/s/other?rh=n%3A%2116225006011%2Cn%3A11058281&bbn=16225006011&pickerToList=lbr_brands_browse-bin&qid=1553629200&ref=sr_sa_p_89
Beauty and personal care,Skin Care,https://www.amazon.com/s/other?rh=n%3A%2116225006011%2Cn%3A11060451&bbn=16225006011&pickerToList=lbr_brands_browse-bin&qid=1553629197&ref=sr_sa_p_89
Beauty and personal care,Hair Care,https://www.amazon.com/s/other?rh=n%3A%2116225006011%2Cn%3A11057241&bbn=16225006011&pickerToList=lbr_brands_browse-bin&qid=1553629194&ref=sr_sa_p_89
Beauty and personal care,Fragrance,https://www.amazon.com/s/other?rh=n%3A%2116225006011%2Cn%3A11056591&bbn=16225006011&pickerToList=lbr_brands_browse-bin&qid=1553629191&ref=sr_sa_p_89
Beauty and personal care,"Foot, Hand & Nail Care",https://www.amazon.com/s/other?rh=n%3A%2116225006011%2Cn%3A17242866011&bbn=16225006011&pickerToList=lbr_brands_browse-bin&qid=1553629186&ref=sr_sa_p_89
Beauty and personal care,Tools & Accessories,https://www.amazon.com/s/other?rh=n%3A%2116225006011%2Cn%3A11062741&bbn=16225006011&pickerToList=lbr_brands_browse-bin&qid=1553629183&ref=sr_sa_p_89
Beauty and personal care,Shave & Hair Removal,https://www.amazon.com/s/other?rh=n%3A%2116225006011%2Cn%3A3778591&bbn=16225006011&pickerToList=lbr_brands_browse-bin&qid=1553629180&ref=sr_sa_p_89
Beauty and personal care,Personal Care,https://www.amazon.com/s/other?rh=n%3A%2116225006011%2Cn%3A3777891&bbn=16225006011&pickerToList=lbr_brands_browse-bin&qid=1553629174&ref=sr_sa_p_89
Beauty and personal care,Oral Care,https://www.amazon.com/s/other?rh=n%3A%2116225006011%2Cn%3A10079992011&bbn=16225006011&pickerToList=lbr_brands_browse-bin&qid=1553629170&ref=sr_sa_p_89
,,
Computers,,
Computers,Computer Accessories & Peripherals,https://www.amazon.com/s/other?rh=n%3A16225007011%2Cn%3A172456&bbn=16225007011&pickerToList=lbr_brands_browse-bin&qid=1553629166&ref=sr_sa_p_89
Computers,Computer Components,https://www.amazon.com/s/other?rh=n%3A16225007011%2Cn%3A193870011&bbn=16225007011&pickerToList=lbr_brands_browse-bin&qid=1553629162&ref=sr_sa_p_89
Computers,Computers & Tablets,https://www.amazon.com/s/other?rh=n%3A16225007011%2Cn%3A13896617011&bbn=16225007011&pickerToList=lbr_brands_browse-bin&qid=1553629159&ref=sr_sa_p_89
Computers,Data Storage,https://www.amazon.com/s/other?rh=n%3A16225007011%2Cn%3A1292110011&bbn=16225007011&pickerToList=lbr_brands_browse-bin&qid=1553629157&ref=sr_sa_p_89
Computers,External Components,https://www.amazon.com/s/other?rh=n%3A16225007011%2Cn%3A193870011%2Cn%3A3012292011&bbn=16225007011&pickerToList=lbr_brands_browse-bin&qid=1553629153&ref=sr_sa_p_89
Computers,Laptop Accessories,https://www.amazon.com/s/other?rh=n%3A16225007011%2Cn%3A3011391011&bbn=16225007011&pickerToList=lbr_brands_browse-bin&qid=1553629149&ref=sr_sa_p_89
Computers,Monitors,https://www.amazon.com/s/other?rh=n%3A16225007011%2Cn%3A1292115011&bbn=16225007011&pickerToList=lbr_brands_browse-bin&qid=1553629146&ref=sr_sa_p_89
Computers,Networking Products,https://www.amazon.com/s/other?rh=n%3A16225007011%2Cn%3A172504&bbn=16225007011&pickerToList=lbr_brands_browse-bin&qid=1553629142&ref=sr_sa_p_89
Computers,Power Strips & Surge Protectors,https://www.amazon.com/s/other?rh=n%3A16225007011%2Cn%3A17854127011&bbn=16225007011&pickerToList=lbr_brands_browse-bin&qid=1553629139&ref=sr_sa_p_89
Computers,Printers,https://www.amazon.com/s/other?rh=n%3A16225007011%2Cn%3A172635&bbn=16225007011&pickerToList=lbr_brands_browse-bin&qid=1553629136&ref=sr_sa_p_89
Computers,Scanners,https://www.amazon.com/s/other?rh=n%3A16225007011%2Cn%3A172584&bbn=16225007011&pickerToList=lbr_brands_browse-bin&qid=1553629133&ref=sr_sa_p_89
Computers,Servers,https://www.amazon.com/s/other?rh=n%3A16225007011%2Cn%3A11036071&bbn=16225007011&pickerToList=lbr_brands_browse-bin&qid=1553629129&ref=sr_sa_p_89
Computers,Tablet Accessories,https://www.amazon.com/s/other?rh=n%3A16225007011%2Cn%3A2348628011&bbn=16225007011&pickerToList=lbr_brands_browse-bin&qid=1553629126&ref=sr_sa_p_89
Computers,Tablet Replacement Parts,https://www.amazon.com/s/other?rh=n%3A16225007011%2Cn%3A15524379011&bbn=16225007011&pickerToList=lbr_brands_browse-bin&qid=1553629122&ref=sr_sa_p_89
Computers,Warranties & Services,
,,
Electronics,,
Electronics,Accessories & Supplies,https://www.amazon.com/s/other?rh=n%3A%2116225009011%2Cn%3A281407&bbn=16225009011&pickerToList=lbr_brands_browse-bin&qid=1553626931&ref=sr_sa_p_89
Electronics,Camera & Photo,https://www.amazon.com/s/other?rh=n%3A%2116225009011%2Cn%3A502394&bbn=16225009011&pickerToList=lbr_brands_browse-bin&qid=1553626928&ref=sr_sa_p_89
Electronics,Car & Vehicle Electronics,https://www.amazon.com/s/other?rh=n%3A%2116225009011%2Cn%3A3248684011&bbn=16225009011&pickerToList=lbr_brands_browse-bin&qid=1553626924&ref=sr_sa_p_89
Electronics,Cell Phones & Accessories,https://www.amazon.com/s/other?rh=n%3A%2116225009011%2Cn%3A2811119011&bbn=16225009011&pickerToList=lbr_brands_browse-bin&qid=1553626920&ref=sr_sa_p_89
Electronics,Computers & Accessories,https://www.amazon.com/s/other?rh=n%3A%2116225009011%2Cn%3A541966&bbn=16225009011&pickerToList=lbr_brands_browse-bin&qid=1553626915&ref=sr_sa_p_89
Electronics,GPS & Navigation,https://www.amazon.com/s/other?rh=n%3A%2116225009011%2Cn%3A172526&bbn=16225009011&pickerToList=lbr_brands_browse-bin&qid=1553626911&ref=sr_sa_p_89
Electronics,Headphones,https://www.amazon.com/s/other?rh=n%3A%2116225009011%2Cn%3A172541&bbn=16225009011&pickerToList=lbr_brands_browse-bin&qid=1553626908&ref=sr_sa_p_89
Electronics,Home Audio,https://www.amazon.com/s/other?rh=n%3A%2116225009011%2Cn%3A667846011&bbn=16225009011&pickerToList=lbr_brands_browse-bin&qid=1553626904&ref=sr_sa_p_89
Electronics,Office Electronics,https://www.amazon.com/s/other?rh=n%3A%2116225009011%2Cn%3A172574&bbn=16225009011&pickerToList=lbr_brands_browse-bin&qid=1553626900&ref=sr_sa_p_89
